1,1C:Enterprise script
2,4th Dimension/4D: 4D - 4th Dimension
3,ABAP
4,ABC: ABC (exceptions: -tv -channel)
5,ActionScript: ActionScript - AS1 - AS2 - AS3
6,Ada
7,Agilent VEE
8,Algol
9,Alice: Alice (confidence: 90%)
10,Android
11,Angelscript
12,Angular
13,Apex
14,APL
15,Applescript
16,Arc
17,AspectJ
18,Assembly language: Assembly - Assembly language
19,ATLAS
20,AutoHotkey: AutoHotkey - AHK
21,AutoIt
22,AutoLISP
23,Automator
24,Avenue
25,Awk: Awk - Mawk - Gawk - Nawk
26,B4X
27,Ballerina
28,Bash
29,Basic: Basic (confidence: 0%)
30,BBC BASIC
31,bc
32,BCPL
33,BETA: BETA (confidence: 10%)
34,BlitzMax: BlitzMax - BlitzBasic - Blitz Basic
35,Boo
36,Bourne shell: Bourne shell - sh
37,Brainfuck
38,C shell: Csh - C shell (confidence: 90%)
39,C#: C# - C-Sharp - C Sharp - CSharp - CSharp.NET - C#.NET
40,"C: C (exceptions: -""Objective-C"")"
41,C++
42,C++/CLI
43,Caml
44,Ceylon
45,CFML: CFML - ColdFusion
46,cg -computer game - computer graphics
47,Ch: Ch (exceptions: +ChScite)
48,Chapel: Chapel (exceptions: -christ)
49,CHILL
50,CIL
51,CL (OS/400): CL (exceptions: -Lisp) - CLLE
52,Clarion
53,Clean: Clean (confidence: 43%)
54,CLIPS
55,Clipper
56,Clojure: Clojure - ClojureScript
57,CLU
58,COBOL
59,Cobra
60,CoffeeScript
61,COMAL
62,C-Omega
63,Common Lisp
64,Crystal: Crystal  - crystallang
65,cT
66,Curl
67,D 3-D programming - DTrace - dlang
68,Dart
69,DCL
70,Delphi/Object Pascal: DwScript - Delphi.NET - Pascal
71,DiBOL: DBL - Synergy/DE - DIBOL
72,Dylan
73,E: E (exceptions: +specman)
74,ECMAScript
75,EGL
76,Eiffel
77,Elixir
78,Elm
79,Emacs Lisp: Emacs Lisp - Elips
80,Emerald
81,Erlang
82,Etoys
83,Euphoria
84,EXEC
85,F#: F# - F-Sharp - FSharp - F Sharp
86,Factor
87,Falcon
88,Fantom
89,Felix: Felix (confidence: 86%)
90,Forth
91,Fortran
92,Fortress
93,FoxPro - Visual FoxPro - VFP
94,FreeBASIC
95,Gambas
96,GAMS
97,GLSL
98,GML: GML - GameMaker Language
99,GNU Octave
100,Go: Go - Golang
101,Gosu
102,Groovy: Groovy - GPATH - GSQL - Groovy++
103,Hack
104,Harbour
105,Haskell
106,Haxe
107,Heron
108,HPL
109,HyperTalk
110,Icon: Icon (confidence: 90%)
111,IDL: IDL (exceptions: -corba -interface)
112,Idris
113,Inform
114,Informix-4GL
115,INTERCAL
116,Io
117,Ioke
118,J#
119,J: J (confidence: 50%)
120,JADE
121,Java
122,JavaFX Script
123,JavaScript: JavaScript - JS - SSJS
124,JScript
125,JScript.NET
126,Julia: Julia - Julialang - julia-lang
127,Korn shell: Korn shell - ksh
128,Kotlin
129,LabVIEW
130,Ladder Logic
